Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01798134 0.         1.97851989 0.         0.06115846]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.0176808  0.         1.94541423 0.         0.05616763]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01768081 0.         1.94541412 0.         0.05603089]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01765767 0.         1.9428679  0.         0.05588928]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01765768 0.         1.94286785 0.         0.055821  ]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.0176114  0.         1.93777502 0.         0.05560659]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01761141 0.         1.93777492 0.         0.05547041]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01758827 0.         1.93522848 0.         0.05532951]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01758828 0.         1.93522838 0.         0.05519351]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01761143 0.         1.93777466 0.         0.05512996]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01761144 0.         1.93777456 0.         0.05499379]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01775031 0.         1.95305256 0.         0.05529015]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01775032 0.         1.95305245 0.         0.05515292]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01775033 0.         1.9530523  0.         0.05494708]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01775035 0.         1.95305214 0.         0.05474126]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01770407 0.         1.94795927 0.         0.05446166]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01770409 0.         1.94795911 0.         0.05425639]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.0177041  0.         1.94795896 0.         0.05405113]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01770412 0.         1.9479588  0.         0.05384588]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01775043 0.         1.95305136 0.         0.05371229]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01775044 0.         1.95305121 0.         0.05350654]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01777361 0.         1.95559738 0.         0.05330161]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01777363 0.         1.95559718 0.         0.05302694]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01781993 0.         1.96068952 0.         0.05288967]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01781995 0.         1.96068931 0.         0.05261432]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01786626 0.         1.96578187 0.         0.05247494]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01786628 0.         1.96578166 0.         0.05219893]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01793573 0.         1.9734206  0.         0.0521247 ]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01793576 0.         1.97342034 0.         0.05177838]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01793578 0.         1.97342013 0.         0.05150135]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.0179358  0.         1.97341992 0.         0.05122434]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01800524 0.         1.98105869 0.         0.05121407]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01800527 0.         1.98105842 0.         0.0508665 ]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01802843 0.         1.98360465 0.         0.0507231 ]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01802844 0.         1.98360449 0.         0.05051431]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01807475 0.         1.98869709 0.         0.0504347 ]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01807476 0.         1.98869693 0.         0.0502254 ]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01816735 0.         1.99888213 0.         0.05034239]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01816736 0.         1.99888203 0.         0.05020216]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.0182368  0.         2.00652106 0.         0.05025325]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.0182368  0.         2.00652101 0.         0.05018287]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01825995 0.         2.00906706 0.         0.05010561]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01825995 0.         2.00906706 0.         0.05010561]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01830625 0.         2.01415977 0.         0.05016197]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01830625 0.         2.01415977 0.         0.05016197]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.0183294  0.         2.01670609 0.         0.05015465]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01832939 0.         2.01670615 0.         0.05022539]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01835253 0.         2.01925253 0.         0.05028881]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01835253 0.         2.01925253 0.         0.05028881]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01842196 0.         2.0268915  0.         0.05055014]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01842196 0.         2.0268915  0.         0.05055014]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01842196 0.         2.0268915  0.         0.05055014]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01842195 0.         2.02689156 0.         0.05062124]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01851453 0.         2.03707702 0.         0.05080417]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01851452 0.         2.03707708 0.         0.05087562]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01856081 0.         2.04216962 0.         0.05100281]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01856081 0.         2.04216962 0.         0.05100281]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01858395 0.         2.044716   0.         0.0510664 ]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01858395 0.         2.044716   0.         0.0510664 ]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01867653 0.         2.05490152 0.         0.05132078]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01867653 0.         2.05490152 0.         0.05132078]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01874596 0.         2.06254044 0.         0.05151156]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01874596 0.         2.06254044 0.         0.05151156]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01879224 0.         2.0676332  0.         0.05163875]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01879224 0.         2.0676332  0.         0.05163875]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01883853 0.         2.07272596 0.         0.05176594]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01883853 0.         2.07272596 0.         0.05176594]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01895424 0.         2.08545765 0.         0.05208392]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01895424 0.         2.08545765 0.         0.05208392]
Timestamp: 2024-07-03 04:53:21, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01904682 0.         2.09564295 0.         0.05233829]
Timestamp: 2024-07-03 04:54:39, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01798134 0.         1.97851989 0.         0.06115846]
Timestamp: 2024-07-03 04:54:39, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01798136 0.         1.97851968 0.         0.06088002]
Timestamp: 2024-07-03 04:54:39, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.0179351  0.         1.9734269  0.         0.06044564]
Timestamp: 2024-07-03 04:54:39, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01793512 0.         1.97342669 0.         0.06016796]
Timestamp: 2024-07-03 04:54:39, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01793514 0.         1.97342648 0.         0.05989032]
Timestamp: 2024-07-03 04:54:39, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01793516 0.         1.97342627 0.         0.05961269]
Timestamp: 2024-07-03 04:54:39, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01791204 0.         1.97087972 0.         0.05932784]
Timestamp: 2024-07-03 04:54:39, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01791205 0.         1.97087957 0.         0.05911991]
Timestamp: 2024-07-03 04:54:39, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01791207 0.         1.97087941 0.         0.058912  ]
Timestamp: 2024-07-03 04:54:39, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01791208 0.         1.97087925 0.         0.0587041 ]
Timestamp: 2024-07-03 04:54:39, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01786582 0.         1.96578631 0.         0.05834506]
Timestamp: 2024-07-03 04:54:39, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01786583 0.         1.96578616 0.         0.05813772]
Timestamp: 2024-07-03 04:54:39, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.0178427  0.         1.96323961 0.         0.05785536]
Timestamp: 2024-07-03 04:54:39, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01784271 0.         1.96323951 0.         0.05771732]
Timestamp: 2024-07-03 04:54:39, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01781959 0.         1.96069296 0.         0.05743569]
Timestamp: 2024-07-03 04:54:39, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.0178196  0.         1.96069286 0.         0.05729785]
Timestamp: 2024-07-03 04:54:39, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01777333 0.         1.95560019 0.         0.05701156]
Timestamp: 2024-07-03 04:54:39, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01777334 0.         1.95560009 0.         0.05687408]
Timestamp: 2024-07-03 04:54:39, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.0177502  0.         1.95305365 0.         0.05673138]
Timestamp: 2024-07-03 04:54:40, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01775021 0.         1.95305355 0.         0.0565941 ]
Timestamp: 2024-07-03 04:54:40, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01770393 0.         1.94796072 0.         0.05637807]
Timestamp: 2024-07-03 04:54:40, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01770393 0.         1.94796067 0.         0.0563096 ]
Timestamp: 2024-07-03 04:54:40, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.0176808  0.         1.94541423 0.         0.05616763]
Timestamp: 2024-07-03 04:54:40, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01768081 0.         1.94541412 0.         0.05603089]
Timestamp: 2024-07-03 04:54:40, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01765767 0.         1.9428679  0.         0.05588928]
Timestamp: 2024-07-03 04:54:40, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01765768 0.         1.94286785 0.         0.055821  ]
Timestamp: 2024-07-03 04:54:40, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.0176114  0.         1.93777502 0.         0.05560659]
